Project_ID,Project_Type,Activity,Planned_Start_Date,Planned_Finish_Date,Actual_Start_Date,Actual_Finish_Date,Planned_Days,Actual_Days,Delay_Days,Contractor,Weather,Labour_Available,Material_Delay,Status,Estimated_Daily_Cost_INR,Estimated_Cost_Overrun_INR,Quality_Issue,Safety_Incident,Remarks
ABC-001,Commercial Building,Site Survey & Setting Out,2025-11-03,2025-11-10,2025-11-03,2025-11-12,8,10,2,Alpha Infra Contractors,Normal,Adequate,Low,Delayed,42811,85622,No,No,Delay due to contractor productivity
ABC-001,Commercial Building,Excavation,2025-04-04,2025-04-18,2025-04-04,2025-04-29,15,26,11,Delta Construction Services,Heavy Rain,Moderate,None,Severely Delayed,218013,2398143,No,No,Delay due to weather and site coordination
ABC-001,Commercial Building,Foundation PCC,2026-02-04,2026-02-08,2026-02-04,2026-02-11,5,8,3,Elite Structures Pvt. Ltd.,Normal,Adequate,None,Delayed,246583,739749,No,No,Delay due to contractor productivity
ABC-001,Commercial Building,Footing Reinforcement,2025-05-06,2025-05-12,2025-05-06,2025-05-17,7,12,5,PrimeBuild Contractors,Normal,Adequate,Low,Delayed,208346,1041730,No,No,Delay due to contractor productivity
ABC-001,Commercial Building,Footing Formwork,2025-09-29,2025-10-03,2025-09-29,2025-10-07,5,9,4,BuildRight Civil Works,Normal,Adequate,Low,Delayed,210682,842728,No,No,Delay due to contractor productivity
ABC-001,Commercial Building,Footing Concreting,2026-02-22,2026-02-25,2026-02-24,2026-03-04,4,9,5,Delta Construction Services,Normal,Moderate,None,Delayed,92570,462850,No,No,Delay due to contractor productivity
ABC-001,Commercial Building,Column Reinforcement,2025-09-09,2025-09-16,2025-09-09,2025-09-19,8,11,3,BuildRight Civil Works,Normal,Adequate,None,Delayed,206819,620457,No,No,Delay due to contractor productivity
ABC-001,Commercial Building,Column Formwork,2025-10-22,2025-10-27,2025-10-22,2025-11-02,6,12,6,Alpha Infra Contractors,Normal,Moderate,None,Severely Delayed,92493,554958,Yes,No,Delay due to contractor productivity
ABC-001,Commercial Building,Column Concreting,2025-05-03,2025-05-06,2025-05-04,2025-05-16,4,13,9,Elite Structures Pvt. Ltd.,Moderate Rain,Adequate,None,Severely Delayed,135039,1215351,No,No,Delay due to weather and site coordination
ABC-001,Commercial Building,Beam & Slab Formwork,2025-08-29,2025-09-08,2025-08-30,2025-09-13,11,15,4,CoreBuild Engineering,High Wind,Moderate,None,Delayed,76460,305840,No,No,Delay due to contractor productivity
ABC-002,Commercial Building,Beam & Slab Reinforcement,2025-10-09,2025-10-24,2025-10-09,2025-10-28,16,20,4,BuildRight Civil Works,Hot & Dry,Adequate,Medium,Delayed,176394,705576,Yes,No,Delay due to material supply issue
ABC-002,Commercial Building,RCC Slab Concreting,2025-08-01,2025-08-04,2025-08-01,2025-08-06,4,6,2,Delta Construction Services,Hot & Dry,Adequate,None,Delayed,98143,196286,No,No,Delay due to contractor productivity
ABC-002,Commercial Building,Brickwork / Blockwork,2026-01-07,2026-01-22,2026-01-07,2026-01-25,16,19,3,CoreBuild Engineering,Normal,Moderate,Low,Delayed,104483,313449,No,No,Delay due to contractor productivity
ABC-002,Commercial Building,Internal Plastering,2025-06-01,2025-06-18,2025-06-01,2025-06-28,18,28,10,PrimeBuild Contractors,Heavy Rain,Moderate,Low,Severely Delayed,93903,939030,No,No,Delay due to weather and site coordination
ABC-002,Commercial Building,External Plastering,2025-09-17,2025-10-05,2025-09-17,2025-10-05,19,19,0,Delta Construction Services,Normal,Moderate,None,Completed On Time,169782,0,No,No,Completed as planned
ABC-002,Commercial Building,Electrical First Fix,2025-05-19,2025-05-29,2025-05-19,2025-06-06,11,19,8,Alpha Infra Contractors,High Wind,Moderate,None,Severely Delayed,207748,1661984,No,No,Delay due to contractor productivity
ABC-002,Commercial Building,Plumbing First Fix,2025-08-06,2025-08-15,2025-08-06,2025-08-24,10,19,9,Elite Structures Pvt. Ltd.,Heavy Rain,Shortage,None,Severely Delayed,84862,763758,No,No,Delay due to weather and site coordination
ABC-002,Commercial Building,Waterproofing,2025-05-18,2025-05-24,2025-05-18,2025-05-26,7,9,2,CoreBuild Engineering,Moderate Rain,Adequate,Medium,Delayed,78597,157194,No,No,Delay due to weather and site coordination
ABC-002,Commercial Building,Flooring & Tiling,2025-11-03,2025-11-20,2025-11-05,2025-11-27,18,23,5,PrimeBuild Contractors,Normal,Adequate,None,Delayed,208505,1042525,No,No,Delay due to contractor productivity
ABC-002,Commercial Building,Doors & Windows,2025-12-01,2025-12-11,2025-12-03,2025-12-14,11,12,1,PrimeBuild Contractors,Hot & Dry,Adequate,Low,Delayed,174231,174231,No,Yes,Delay due to contractor productivity
ABC-003,Commercial Building,Painting,2026-01-22,2026-02-06,2026-01-24,2026-02-10,16,18,2,BuildRight Civil Works,Hot & Dry,Moderate,None,Delayed,45418,90836,No,No,Delay due to contractor productivity
ABC-003,Commercial Building,External Development,2025-06-07,2025-06-22,2025-06-07,2025-06-26,16,20,4,CoreBuild Engineering,High Wind,Adequate,Low,Delayed,154858,619432,No,No,Delay due to contractor productivity
ABC-003,Commercial Building,Testing & Commissioning,2025-09-26,2025-10-02,2025-09-26,2025-10-08,7,13,6,CoreBuild Engineering,High Wind,Shortage,None,Severely Delayed,99037,594222,No,No,Delay due to labour shortage
ABC-003,Commercial Building,Final Inspection & Handover,2025-05-24,2025-05-29,2025-05-24,2025-06-05,6,13,7,Elite Structures Pvt. Ltd.,Hot & Dry,Shortage,Low,Severely Delayed,104328,730296,No,No,Delay due to labour shortage
ABC-003,Commercial Building,Site Survey & Setting Out,2025-08-07,2025-08-13,2025-08-07,2025-08-18,7,12,5,BuildRight Civil Works,Hot & Dry,Moderate,None,Delayed,59195,295975,No,No,Delay due to contractor productivity
ABC-003,Commercial Building,Excavation,2025-11-05,2025-11-16,2025-11-07,2025-12-01,12,25,13,BuildRight Civil Works,Normal,Shortage,None,Severely Delayed,37534,487942,No,No,Delay due to labour shortage
ABC-003,Commercial Building,Foundation PCC,2025-04-22,2025-04-26,2025-04-22,2025-04-30,5,9,4,Alpha Infra Contractors,Normal,Adequate,Low,Delayed,130591,522364,Yes,No,Delay due to contractor productivity
ABC-003,Commercial Building,Footing Reinforcement,2025-06-19,2025-06-27,2025-06-19,2025-07-02,9,14,5,PrimeBuild Contractors,Normal,Adequate,None,Delayed,77598,387990,Yes,No,Delay due to contractor productivity
ABC-003,Commercial Building,Footing Formwork,2025-05-26,2025-06-01,2025-05-27,2025-06-10,7,15,8,Alpha Infra Contractors,Heavy Rain,Adequate,High,Severely Delayed,45151,361208,No,No,Delay due to weather and site coordination
ABC-003,Commercial Building,Footing Concreting,2025-07-08,2025-07-12,2025-07-09,2025-07-15,5,7,2,CoreBuild Engineering,Normal,Moderate,None,Delayed,121051,242102,No,No,Delay due to contractor productivity
ABC-004,Residential Apartment,Column Reinforcement,2025-07-01,2025-07-08,2025-07-03,2025-07-15,8,13,5,BuildRight Civil Works,Hot & Dry,Moderate,Medium,Delayed,104590,522950,No,No,Delay due to material supply issue
ABC-004,Residential Apartment,Column Formwork,2025-04-23,2025-04-28,2025-04-24,2025-05-04,6,11,5,Elite Structures Pvt. Ltd.,Normal,Shortage,None,Delayed,35443,177215,No,No,Delay due to labour shortage
ABC-004,Residential Apartment,Column Concreting,2025-06-03,2025-06-06,2025-06-03,2025-06-14,4,12,8,PrimeBuild Contractors,Heavy Rain,Adequate,None,Severely Delayed,167939,1343512,No,No,Delay due to weather and site coordination
ABC-004,Residential Apartment,Beam & Slab Formwork,2025-09-02,2025-09-13,2025-09-03,2025-09-23,12,21,9,BuildRight Civil Works,Normal,Adequate,High,Severely Delayed,178638,1607742,No,No,Delay due to material supply issue
ABC-004,Residential Apartment,Beam & Slab Reinforcement,2025-12-18,2025-12-30,2025-12-19,2026-01-01,13,14,1,Elite Structures Pvt. Ltd.,Hot & Dry,Adequate,None,Delayed,243072,243072,Yes,No,Delay due to contractor productivity
ABC-004,Residential Apartment,RCC Slab Concreting,2025-09-06,2025-09-08,2025-09-06,2025-09-11,3,6,3,Alpha Infra Contractors,Hot & Dry,Moderate,None,Delayed,246435,739305,No,No,Delay due to contractor productivity
ABC-004,Residential Apartment,Brickwork / Blockwork,2025-12-10,2025-12-26,2025-12-11,2026-01-01,17,22,5,CoreBuild Engineering,Moderate Rain,Adequate,None,Delayed,98959,494795,No,No,Delay due to weather and site coordination
ABC-004,Residential Apartment,Internal Plastering,2025-06-02,2025-06-18,2025-06-03,2025-06-27,17,25,8,PrimeBuild Contractors,Moderate Rain,Moderate,None,Severely Delayed,69954,559632,No,No,Delay due to weather and site coordination
ABC-004,Residential Apartment,External Plastering,2025-11-30,2025-12-21,2025-12-01,2026-01-03,22,34,12,Delta Construction Services,High Wind,Shortage,Low,Severely Delayed,102945,1235340,No,No,Delay due to labour shortage
ABC-004,Residential Apartment,Electrical First Fix,2025-07-30,2025-08-09,2025-07-30,2025-08-11,11,13,2,Elite Structures Pvt. Ltd.,Hot & Dry,Adequate,None,Delayed,123040,246080,No,No,Delay due to contractor productivity
ABC-005,Residential Apartment,Plumbing First Fix,2025-10-30,2025-11-07,2025-10-30,2025-11-17,9,19,10,BuildRight Civil Works,Heavy Rain,Moderate,None,Severely Delayed,89220,892200,No,No,Delay due to weather and site coordination
ABC-005,Residential Apartment,Waterproofing,2025-10-17,2025-10-25,2025-10-18,2025-11-03,9,17,8,PrimeBuild Contractors,Normal,Shortage,Low,Severely Delayed,176091,1408728,No,No,Delay due to labour shortage
ABC-005,Residential Apartment,Flooring & Tiling,2025-10-25,2025-11-10,2025-10-25,2025-11-15,17,22,5,BuildRight Civil Works,Normal,Adequate,None,Delayed,157523,787615,Yes,Yes,Delay due to contractor productivity
ABC-005,Residential Apartment,Doors & Windows,2025-07-03,2025-07-14,2025-07-03,2025-07-18,12,16,4,PrimeBuild Contractors,Hot & Dry,Moderate,None,Delayed,103198,412792,No,No,Delay due to contractor productivity
ABC-005,Residential Apartment,Painting,2025-04-10,2025-04-26,2025-04-12,2025-05-04,17,23,6,Elite Structures Pvt. Ltd.,Normal,Moderate,Medium,Severely Delayed,48653,291918,Yes,No,Delay due to material supply issue
ABC-005,Residential Apartment,External Development,2025-08-01,2025-08-16,2025-08-01,2025-08-24,16,24,8,Elite Structures Pvt. Ltd.,Heavy Rain,Moderate,High,Severely Delayed,159141,1273128,No,No,Delay due to weather and site coordination
ABC-005,Residential Apartment,Testing & Commissioning,2025-05-26,2025-06-01,2025-05-28,2025-06-06,7,10,3,Delta Construction Services,Heavy Rain,Adequate,Low,Delayed,41731,125193,Yes,No,Delay due to weather and site coordination
ABC-005,Residential Apartment,Final Inspection & Handover,2026-02-02,2026-02-07,2026-02-02,2026-02-11,6,10,4,BuildRight Civil Works,High Wind,Adequate,Low,Delayed,243726,974904,Yes,No,Delay due to contractor productivity
ABC-005,Residential Apartment,Site Survey & Setting Out,2025-12-07,2025-12-13,2025-12-07,2025-12-17,7,11,4,CoreBuild Engineering,Normal,Adequate,None,Delayed,148645,594580,Yes,No,Delay due to contractor productivity
ABC-005,Residential Apartment,Excavation,2025-12-04,2025-12-19,2025-12-05,2025-12-31,16,27,11,Elite Structures Pvt. Ltd.,Normal,Moderate,High,Severely Delayed,149183,1641013,No,No,Delay due to material supply issue
